cdtCode	 description	 category	 hpmsCategory
D0120	periodic oral evaluation 	Diagnostic 	Preventive - Oral Exam
D0140	limited oral evaluation - problem focused 	Diagnostic 	Comprehensive - Diagnostic
D0145	oral evaluation for a patient under three years of age and counseling with primary caregiver 	Diagnostic 	Comprehensive - Diagnostic
D0150	comprehensive oral evaluation - new or established patient 	Diagnostic 	Preventive - Oral Exam
D0160	detailed and extensive oral evaluation - problem-focused, by report 	Diagnostic 	Comprehensive - Diagnostic
D0170	re-evaluation, limited, problem focused 	Diagnostic 	Comprehensive - Diagnostic
D0171	re-evaluation, post-operative visit 	Diagnostic 	Comprehensive - Diagnostic
D0180	comprehensive periodontal evaluation - new or established patient 	Diagnostic 	Comprehensive - Diagnostic
D0210	intraoral - complete series of radiographic images 	Diagnostic 	Comprehensive - Diagnostic
D0220	intraoral - periapical first radiographic image 	Diagnostic 	Comprehensive - Diagnostic
D0230	intraoral - periapical each additional radiographic image 	Diagnostic 	Comprehensive - Diagnostic
D0240	intraoral - occlusal radiographic image 	Diagnostic 	Comprehensive - Diagnostic
D0250	extraoral - 2D projection radiographic image created using a stationary radiation source and detector 	Diagnostic 	Comprehensive - Diagnostic
D0251	extra-oral posterior dental radiographic image 	Diagnostic 	Comprehensive - Diagnostic
D0270	bitewing - single radiographic image 	Diagnostic 	Preventive - X-rays
D0272	bitewings - two radiographic images 	Diagnostic 	Preventive - X-rays
D0273	bitewings - three radiographic images 	Diagnostic 	Preventive - X-rays
D0274	bitewings - four radiographic images 	Diagnostic 	Preventive - X-rays
D0277	vertical bitewings - 7 to 8 radiographic images 	Diagnostic 	Preventive - X-rays
D0330	panoramic radiographic image 	Diagnostic 	Comprehensive - Diagnostic
D0350	2D Oral/facial photographic images obtained intraorally or extraorally 	Diagnostic 	Comprehensive - Diagnostic
D0351	3D photographic image 	Diagnostic 	Comprehensive - Diagnostic
D0411	HbA1C in-office point of service testing 	Diagnostic 	Comprehensive - Diagnostic
D0415	collection of microorganisms for culture and sensitivity 	Diagnostic 	Comprehensive - Diagnostic
D0416	viral culture 	Diagnostic 	Comprehensive - Diagnostic
D0417	collection and preparation of saliva sample for laboratory diagnostic testing 	Diagnostic 	Comprehensive - Diagnostic
D0418	analysis of saliva sample 	Diagnostic 	Comprehensive - Diagnostic
D0422	collection and preparation of genetic sample material for laboratory analysis and report 	Diagnostic 	Comprehensive - Diagnostic
D0423	genetic test for susceptibility to diseases-specimen analysis 	Diagnostic 	Comprehensive - Diagnostic
D0425	Caries susceptibility tests 	Diagnostic 	Comprehensive - Diagnostic
D0431	adjunctive pre-diagnostic test that aids in detection of mucosal abnormalities including premalignant and malignant lesi 	Diagnostic 	Comprehensive - Diagnostic
D0460	pulp vitality tests 	Diagnostic 	Comprehensive - Diagnostic
D0470	diagnostic casts 	Diagnostic 	Comprehensive - Diagnostic
D0472	Accession of tissue, gross examination 	Diagnostic 	Comprehensive - Diagnostic
D0473	Accession of tissue, gross and microscopic exam 	Diagnostic 	Comprehensive - Diagnostic
D0474	Accession of tissue, gross and microscopic exam (surgical) 	Diagnostic 	Comprehensive - Diagnostic
D0475	Decalcification procedure 	Diagnostic 	Comprehensive - Diagnostic
D0476	Special stains for microorganisms 	Diagnostic 	Comprehensive - Diagnostic
D0477	Special stains, not for microorganisms 	Diagnostic 	Comprehensive - Diagnostic
D0478	Immunohistochemical stains 	Diagnostic 	Comprehensive - Diagnostic
D0479	Tissue in-situ hybridization, including interpretation 	Diagnostic 	Comprehensive - Diagnostic
D0480	Processing and interpretation of cytologic smears 	Diagnostic 	Comprehensive - Diagnostic
D0481	Electron microscopy 	Diagnostic 	Comprehensive - Diagnostic
D0482	Direct immunofluorescence 	Diagnostic 	Comprehensive - Diagnostic
D0483	Indirect immunofluorescence 	Diagnostic 	Comprehensive - Diagnostic
D0484	Consultation on slides prepared elsewhere 	Diagnostic 	Comprehensive - Diagnostic
D0485	Consultation, including preparation of slides from biopsy material supplied by referring source 	Diagnostic 	Comprehensive - Diagnostic
D0486	Accession of exfoliative cytological smears, microscopic examination, preparation and transmission of written report 	Diagnostic 	Comprehensive - Diagnostic
D0502	Other oral pathology procedures, by report 	Diagnostic 	Comprehensive - Diagnostic
D0600	non-ionizing diagnostic procedure 	Diagnostic 	Comprehensive - Diagnostic
D0601	caries risk assessment and documentation, with a finding of low risk 	Diagnostic 	Comprehensive - Diagnostic
D0602	caries risk assessment and documentation, with a finding of moderate risk 	Diagnostic 	Comprehensive - Diagnostic
D0603	caries risk assessment and documentation, with a finding of high risk 	Diagnostic 	Comprehensive - Diagnostic
D0999	Unspecified diagnostic procedure, by report 	Diagnostic 	Comprehensive - Diagnostic
D1110	prophylaxis (cleaning) - adult 	Preventive 	Preventive - Prophylaxis (cleanings)
D1120	prophylaxis (cleaning) - child 	Preventive 	Preventive - Prophylaxis (cleanings)
D1206	topical application of fluoride varnish 	Preventive 	Preventive - Fluoride Treatment
D1208	Topical application of fluoride - excluding varnish 	Preventive 	Preventive - Fluoride Treatment
D1310	nutritional counseling for control of dental disease 	Preventive 	Comprehensive - Non-Routine
D1330	oral hygiene instructions 	Preventive 	Comprehensive - Non-Routine
D1351	sealant - per tooth 	Preventive 	Comprehensive - Restorative
D1352	preventive resin restoration - permanent tooth 	Preventive 	Comprehensive - Restorative
D1353	sealant repair - per tooth 	Preventive 	Comprehensive - Restorative
D1354	interim caries arresting medicament application - per tooth 	Preventive 	Comprehensive - Restorative
D1510	space maintainer - fixed - unilateral 	Preventive 	Comprehensive - Restorative
D1516	space maintainer – fixed – bilateral, maxillary 	Preventive 	Comprehensive - Restorative
D1517	space maintainer – fixed – bilateral, mandibular 	Preventive 	Comprehensive - Restorative
D1520	space maintainer - removable - unilateral 	Preventive 	Comprehensive - Restorative
D1526	space maintainer – removable – bilateral, maxillary 	Preventive 	Comprehensive - Restorative
D1527	space maintainer – removable – bilateral, mandibular 	Preventive 	Comprehensive - Restorative
D1550	recement or re-bond of space maintainer 	Preventive 	Comprehensive - Restorative
D1555	removal of fixed space maintainer 	Preventive 	Comprehensive - Restorative
D1575	distal shoe space maintainer - fixed unilateral 	Preventive 	Comprehensive - Restorative
D2140	amalgam - one surface, primary or permanent 	Restorative 	Comprehensive - Restorative
D2150	amalgam - two surfaces, primary or permanent 	Restorative 	Comprehensive - Restorative
D2160	amalgam - three surfaces, primary or permanent 	Restorative 	Comprehensive - Restorative
D2161	amalgam - four or more surfaces, primary or permanent 	Restorative 	Comprehensive - Restorative
D2330	resin-based composite - one surface, anterior 	Restorative 	Comprehensive - Restorative
D2331	resin-based composite - two surfaces, anterior 	Restorative 	Comprehensive - Restorative
D2332	resin-based composite - three surfaces, anterior 	Restorative 	Comprehensive - Restorative
D2335	resin-based composite - four or more surfaces or involving incisal angle (anterior) 	Restorative 	Comprehensive - Restorative
D2390	resin-based composite crown, anterior 	Restorative 	Comprehensive - Restorative
D2391	resin-based composite - one surface, posterior 	Restorative 	Comprehensive - Restorative
D2392	resin-based composite - two surfaces, posterior 	Restorative 	Comprehensive - Restorative
D2393	resin-based composite - three surfaces, posterior 	Restorative 	Comprehensive - Restorative
D2394	resin-based composite - four or more surfaces, posterior 	Restorative 	Comprehensive - Restorative
D2410	gold foil - one surface 	Restorative 	Comprehensive - Restorative
D2420	gold foil - two surfaces 	Restorative 	Comprehensive - Restorative
D2430	gold foil - three surfaces 	Restorative 	Comprehensive - Restorative
D2510	inlay - metallic - one surface 	Restorative 	Comprehensive - Restorative
D2520	inlay - metallic - two surfaces 	Restorative 	Comprehensive - Restorative
D2530	inlay - metallic - three or more surfaces 	Restorative 	Comprehensive - Restorative
D2542	onlay metallic, two surfaces 	Restorative 	Comprehensive - Restorative
D2543	onlay-metallic-three surfaces 	Restorative 	Comprehensive - Restorative
D2544	onlay-metallic-four or more surfaces 	Restorative 	Comprehensive - Restorative
D2610	inlay - porcelain/ceramic - one surface 	Restorative 	Comprehensive - Restorative
D2620	inlay - porcelain/ceramic - two surfaces 	Restorative 	Comprehensive - Restorative
D2630	inlay - porcelain/ceramic - three or more surfaces 	Restorative 	Comprehensive - Restorative
D2642	onlay - porcelain/ceramic - two surfaces 	Restorative 	Comprehensive - Restorative
D2643	onlay - porcelain/ceramic - three surfaces 	Restorative 	Comprehensive - Restorative
D2644	onlay - porcelain/ceramic - four or more surfaces 	Restorative 	Comprehensive - Restorative
D2650	inlay - composite/resin - one surface 	Restorative 	Comprehensive - Restorative
D2651	inlay - composite/resin - two surfaces 	Restorative 	Comprehensive - Restorative
D2652	inlay - composite/resin - three or more surfaces 	Restorative 	Comprehensive - Restorative
D2662	onlay - composite/resin - two surfaces 	Restorative 	Comprehensive - Restorative
D2663	onlay - composite/resin - three surfaces 	Restorative 	Comprehensive - Restorative
D2664	onlay - composite/resin - four or more surfaces 	Restorative 	Comprehensive - Restorative
D2710	crown,resin-based composite (indirect) 	Restorative 	Comprehensive - Restorative
D2712	crown - 3/4 resin-based composite (indirect) 	Restorative 	Comprehensive - Restorative
D2720	crown - resin with high noble metal 	Restorative 	Comprehensive - Restorative
D2721	crown - resin with predominantly base metal 	Restorative 	Comprehensive - Restorative
D2722	crown - resin with noble metal 	Restorative 	Comprehensive - Restorative
D2740	crown - porcelain/ceramic substrate 	Restorative 	Comprehensive - Restorative
D2750	crown - porcelain fused to high noble metal 	Restorative 	Comprehensive - Restorative
D2751	crown - porcelain fused to predominantly base metal 	Restorative 	Comprehensive - Restorative
D2752	crown - porcelain fused to noble metal 	Restorative 	Comprehensive - Restorative
D2780	crown, 3/4 cast high noble metal 	Restorative 	Comprehensive - Restorative
D2781	crown, 3/4 cast predominately base metal 	Restorative 	Comprehensive - Restorative
D2782	crown, 3/4 cast noble metal 	Restorative 	Comprehensive - Restorative
D2783	crown, 3/4 porcelain/ceramic 	Restorative 	Comprehensive - Restorative
D2790	crown - full cast high noble metal 	Restorative 	Comprehensive - Restorative
D2791	crown - full cast predominantly base metal 	Restorative 	Comprehensive - Restorative
